transaction_id,timestamp,customer_id,merchant_name,amount,mcc_code,location
TX00001,2025-06-20 19:54:36,CUST754,AMZ*GOODMAN-PI JUANPORT,372.07,5812,Montreal
TX00002,2025-06-20 17:05:20,CUST242,WMT*OLSEN-MAY ANDREWTON,339.97,5945,Toronto
TX00003,2025-06-20 19:39:49,CUST704,APL*CRAIG-MILL THOMASBERG,19.75,5812,Montreal
TX00004,2025-06-20 19:51:16,CUST617,"LYF*CASTANEDA, WEST RONNIE",282.82,5732,Winnipeg
TX00005,2025-06-20 05:32:47,CUST818,"LYF*LEE, OBRIE BEARDSTAD",114.12,5945,Vancouver
TX00006,2025-06-19 17:11:36,CUST928,AMZ*BROWN-DAVI LAKE MICHAELSHIRE,403.88,5732,Calgary
TX00007,2025-06-20 15:09:35,CUST448,UBR*SINGH-TUCK CAMPBELLTOWN,111.58,5912,Toronto
TX00008,2025-06-20 17:17:58,CUST194,APL*MASSEY GRO LAKE ANTHONY,182.69,5912,Ottawa
TX00009,2025-06-19 18:15:07,CUST370,AMZ*LOPEZ-MILL NORTH ASHLEYVILLE,232.42,5411,Calgary
TX00010,2025-06-20 10:08:47,CUST180,LYF*NUNEZ-RIVE MEGANPORT,415.56,5945,Vancouver
TX00011,2025-06-19 19:10:05,CUST691,GOOGL*WATERS-MIL JOSHUASTAD,39.43,5732,Montreal
TX00012,2025-06-20 17:54:56,CUST891,UBR*GRANT GROU NORTH RANDY,428.38,5411,Calgary
TX00013,2025-06-19 21:40:34,CUST384,APL*HERMAN-ZAM SUSANFURT,417.88,5812,Vancouver
TX00014,2025-06-19 20:25:13,CUST463,GOOGL*JOHNSON-LE PORT SYLVIAFORT,137.15,5732,Winnipeg
TX00015,2025-06-19 21:42:07,CUST173,LYF*WHITE-ROTH MELISSABURGH,89.71,5732,Montreal
TX00016,2025-06-20 07:00:19,CUST267,APL*BROWN-SHAF SMITHBURY,138.62,5732,Winnipeg
TX00017,2025-06-19 19:53:41,CUST670,GOOGL*ROBERSON I NORTH SARAH,165.52,5411,Montreal
TX00018,2025-06-20 09:20:07,CUST941,AMZ*MOORE-WOOD MACDONALDBURY,203.58,5411,Montreal
TX00019,2025-06-20 09:21:49,CUST680,WMT*COLLINS IN JOHNSHIRE,110.25,5999,Calgary
TX00020,2025-06-20 15:37:08,CUST758,APL*COLLINS PL NEW DOMINIQUE,136.12,5812,Winnipeg
TX00021,2025-06-20 11:15:16,CUST674,LYF*SMITH-NICH SOUTH ERICSHIRE,374.77,5999,Ottawa
TX00022,2025-06-20 12:50:08,CUST508,UBR*CUNNINGHAM PORT JOSEPH,498.68,5812,Ottawa
TX00023,2025-06-19 17:18:13,CUST605,"AMZ*WHITE, MCF DUANEBOROUGH",28.32,5411,Montreal
TX00024,2025-06-19 20:02:42,CUST742,"GOOGL*GARDNER, D LAKE JAMIEMOUTH",213.97,5411,Calgary
TX00025,2025-06-20 03:46:46,CUST490,LYF*JACKSON IN EAST KEVIN,266.91,5945,Toronto
TX00026,2025-06-20 16:39:00,CUST796,WMT*VELASQUEZ  HERRERASTAD,342.45,5945,Vancouver
TX00027,2025-06-20 08:26:07,CUST887,WMT*THOMPSON-M BREWERBURY,60.22,5999,Montreal
TX00028,2025-06-19 18:31:48,CUST564,AMZ*HERNANDEZ  NEW NANCYMOUTH,438.55,5912,Ottawa
TX00029,2025-06-20 02:20:12,CUST880,"GOOGL*DURHAM, GR NORTH JOHNVIEW",456.75,5732,Vancouver
TX00030,2025-06-20 02:20:14,CUST961,"WMT*MENDOZA, W RAMSEYHAVEN",306.44,5812,Vancouver
TX00031,2025-06-20 01:10:57,CUST880,GOOGL*TRAN-BRYAN WEST DANATOWN,476.98,5945,Toronto
TX00032,2025-06-20 03:01:52,CUST713,"UBR*BURKE, SIM PORT MICHAELHAVEN",14.64,5912,Vancouver
TX00033,2025-06-20 12:03:03,CUST345,"AMZ*WILCOX, BU PORT MATTHEWBURY",439.61,5411,Toronto
TX00034,2025-06-20 18:18:03,CUST849,APL*SULLIVAN I CUMMINGSSTAD,489.1,5945,Montreal
TX00035,2025-06-20 03:30:58,CUST231,WMT*BENTON LTD WEST LINDA,473.69,5812,Vancouver
TX00036,2025-06-20 05:24:53,CUST640,"LYF*WOODWARD,  LEONBURY",482.36,5945,Winnipeg
TX00037,2025-06-19 18:51:47,CUST806,"GOOGL*HALE, NICH WEST BRIAN",159.3,5732,Winnipeg
TX00038,2025-06-20 01:58:35,CUST482,APL*HARRINGTON NEW PATRICKSTAD,228.49,5812,Montreal
